,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Greece,20.43,,19.46,,15.88,,14.41,,10.87,,8.93,,8.19,,5.54,,4.77,,2.64,,3.15,,3.37,,3.63,,3.53,,2.90,,3.55,,3.20,,2.90,,4.15,,1.21,,4.71,,3.33,,1.50,,-0.92,,-1.31,,-1.74,,-0.83,,1.12,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,2.15,,2.31,,3.48,,4.25,,3.86,,8.03,,-0.31,,3.44,,3.03,,2.41,,-0.04,,-0.98,,-0.52,,1.65,,0.91,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,,1.88,,0.91,,0.35,,0.30,,-0.09,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,,6.82,,11.36,,1.86,,3.86,,6.21,,3.78,,4.34,,3.42,,2.39,,4.45,,4.42,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.35,,15.23,,11.89,,9.71,,8.15,,8.17,,8.92,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,,2.13,,1.21,,-1.51,,1.40,,1.58,,1.36,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,,12.20,,8.10,,2.95,,3.73,,4.98,,2.39,,1.90,,0.85,,-1.00,,0.84,,1.90,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.40,,6.29,,5.85,,4.57,,9.02,,13.83,,14.67,
Honduras,,,,,,,,,,,,,,,,,,,,,,,9.67,,7.69,,7.67,,8.11,,8.81,,5.58,,6.94,,11.40,,5.50,,4.70,,6.76,,5.20,,5.16,,6.13,,3.16,,2.72,,3.93,
Hungary,28.37,,34.82,,23.66,,22.46,,18.87,,28.31,,23.47,,18.31,,14.15,,10.00,,9.80,,9.12,,5.27,,4.66,,6.74,,3.56,,3.93,,7.96,,6.04,,4.21,,4.86,,3.93,,5.65,,1.73,,-0.23,,-0.06,,0.39,,2.35,
Iceland,15.51,,6.81,,3.95,,4.04,,1.55,,1.65,,2.26,,1.82,,1.66,,3.23,,5.14,,6.41,,5.20,,2.06,,3.16,,3.99,,6.69,,5.05,,12.69,,12.00,,5.40,,4.00,,5.19,,3.87,,2.04,,1.63,,1.70,,1.76,
India,8.97,,13.87,,11.79,,6.33,,10.25,,10.22,,8.98,,7.16,,13.23,,4.67,,4.01,,3.78,,4.30,,3.81,,3.77,,4.25,,5.80,,6.37,,8.35,,10.88,,11.99,,8.86,,9.31,,10.91,,6.35,,5.87,,4.94,,2.49,
Indonesia,7.82,,9.42,,7.52,,9.67,,8.53,,9.42,,7.97,,6.23,,58.45,,20.48,,3.69,,11.50,,11.90,,6.76,,6.06,,10.45,,13.11,,6.41,,10.23,,4.39,,5.13,,5.36,,4.28,,6.41,,6.39,,6.36,,3.53,,3.81,
"Iran, Islamic Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02,,17.34,,25.41,,13.55,,10.09,,20.87,,25.74,,39.27,,17.22,,13.70,,8.65,,9.99,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.25,,30.82,,2.67,,-2.19,,2.44,,5.60,,6.09,,1.88,,2.24,,1.39,,0.53,,0.18,
Ireland,3.32,,3.21,,3.07,,1.47,,2.31,,2.52,,1.75,,1.53,,2.42,,1.63,,5.59,,4.87,,4.61,,3.49,,2.20,,2.43,,3.93,,4.90,,4.06,,-4.48,,-0.92,,2.56,,1.70,,0.51,,0.18,,-0.29,,0.01,,0.34,
