year,country,inflow,outflow,latitude,longitude,net_migrants
1990,Pakistan,6203799,3317683,30.375321,69.345116,2886116
1990,Benin,63876,228961,9.30769,2.315834,-165085
1990,Oman,299352,3362,21.512583,55.923255,295990
1990,Norway,186730,137054,60.472024,8.468946,49676
1990,Lebanon,520116,493739,33.854721,35.862285,26377
1990,Northern Mariana Islands,25498,4383,17.33083,145.38469,21115
1990,Niue,404,5860,-19.054445,-169.867233,-5456
1990,Nigeria,299556,447098,9.081999,8.675277,-147542
1990,Niger,105305,132697,17.607789,8.081666,-27392
1990,Bhutan,21982,28366,27.514162,90.433601,-6384
1990,Nicaragua,40112,439370,12.865416,-85.207229,-399258
1990,New Zealand,499649,386204,-40.900557,174.885971,113445
1990,New Caledonia,35367,3308,-20.904305,165.618042,32059
1990,Bosnia and Herzegovina,54542,857782,43.915886,17.679076,-803240
1990,Netherlands,1180236,719956,52.132633,5.291266,460280
1990,Dominica,2055,37121,15.414999,-61.370976,-35066
1990,Nauru,2598,2332,-0.522778,166.931503,266
1990,Botswana,25829,25763,-22.328474,24.684866,66
1990,Namibia,117404,15579,-22.95764,18.49041,101825
1990,Bermuda,15030,71702,32.321384,-64.75737,-56672
1990,Portugal,431537,1798516,39.399872,-8.224454,-1366979
1990,Latvia,646007,119279,56.879635,24.603189,526728
1990,Cayman Islands,9314,373,19.513469,-80.566956,8941
1990,Grenada,2793,42345,12.262776,-61.604171,-39552
1990,Greenland,9354,9373,71.706936,-42.604303,-19
1990,Greece,618139,1037633,39.074208,21.824312,-419494
1990,Croatia,371626,423618,45.1,15.2,-51992
1990,Gibraltar,7438,11994,36.137741,-5.345374,-4556
1990,Ghana,153715,372922,7.946527,-1.023194,-219207
1990,Germany,5601544,3120888,51.165691,10.451526,2480656
1990,Cuba,29587,820216,21.521757,-77.781167,-790629
1990,Georgia,289184,259903,42.315407,43.356892,29281
1990,Gambia,114683,36140,13.443182,-15.310139,78543
1990,Gabon,124621,14212,-0.803689,11.609444,110409
1990,Cyprus,43432,173849,35.126413,33.429859,-130417
1990,French Polynesia,22416,3131,-17.679742,-149.406843,19285
1990,French Guiana,60358,2820,3.933889,-53.125782,57538
1990,France,5897267,1177678,46.227638,2.213749,4719589
1990,Côte d'Ivoire,1794958,370737,7.539989,-5.54708,1424221
1990,Finland,61133,248732,61.92411,25.748151,-187599
1990,Fiji,11655,90639,-16.578193,179.414413,-78984
1990,Ethiopia,1125957,1687027,9.145,40.489673,-561070
1990,Denmark,235189,196395,56.26392,9.501785,38794
1990,Estonia,381355,51426,58.595272,25.013607,329929
1990,Eritrea,10766,170591,15.179384,39.782334,-159825
1990,Equatorial Guinea,2214,34152,1.650801,10.267895,-31938
1990,Djibouti,114910,5280,11.825138,42.590275,109630
1990,El Salvador,47116,1240800,13.794185,-88.89653,-1193684
1990,Egypt,164324,1299190,26.820553,30.802498,-1134866
1990,Ecuador,78436,188486,-1.831239,-78.183406,-110050
1990,Costa Rica,209300,67923,9.748917,-83.753428,141377
1990,Guadeloupe,61948,5767,16.995971,-62.067641,56181
1990,Guam,67120,2590,13.444304,144.793731,64530
1990,Guatemala,264169,342896,15.783471,-90.230759,-78727
1990,Kuwait,1048104,64453,29.31166,47.481766,983651
1990,Kiribati,1691,5330,-3.370417,-168.734039,-3639
1990,Kenya,196730,208097,-0.023559,37.906193,-11367
1990,Central African Republic,57307,35492,6.611111,20.939444,21815
1990,Kazakhstan,3619200,601644,48.019573,66.923684,3017556
1990,Jordan,1144334,256358,30.585164,36.238414,887976
1990,Japan,1065694,594987,36.204824,138.252924,470707
1990,Chad,69111,333508,15.454166,18.732207,-264397
1990,Jamaica,18126,587884,18.109581,-77.297508,-569758
1990,Italy,1428221,3348301,41.87194,12.56738,-1920080
1990,Israel,1489650,176655,31.046051,34.851612,1312995
1990,Chile,107501,462262,-35.675147,-71.542969,-354761
1990,Isle of Man,33140,10735,54.236107,-4.548056,22405
1990,Kyrgyzstan,608720,88953,41.20438,74.766098,519767
1990,Ireland,227961,915226,53.41291,-8.24389,-687265
1990,China,298400,2210076,35.86166,104.195397,-1911676
1990,Indonesia,374951,1540590,-0.789275,113.921327,-1165639
1990,India,7362652,6647471,20.593684,78.96288,715181
1990,Iceland,9584,17307,64.963051,-19.020835,-7723
1990,Colombia,103448,451756,4.570868,-74.297333,-348308
1990,Hungary,336699,365438,47.162494,19.503304,-28739
1990,Honduras,270279,155883,15.199999,-86.241905,114396
1990,Haiti,17725,521033,18.971187,-72.285215,-503308
1990,Comoros,12560,39716,-11.875001,43.872219,-27156
1990,Guyana,3674,228668,4.860416,-58.93018,-224994
1990,Guinea-Bissau,14726,54437,11.803749,-15.180413,-39711
1990,Guinea,399986,352091,9.945587,-9.696645,47895
1990,Cook Islands,2511,17488,-21.236736,-159.777671,-14977
1990,Iraq,63698,347326,33.223191,43.679291,-283628
1990,Belarus,1248782,945689,53.709807,27.953389,303093
1990,Nepal,411030,737590,28.394857,84.124008,-326560
1990,Dominican Republic,289949,437969,18.735693,-70.162651,-148020
1990,Somalia,460000,846170,5.152149,46.199616,-386170
1990,Australia,3948318,295844,-25.274398,133.775136,3652474
1990,Turks and Caicos Islands,4481,2311,21.694025,-71.797928,2170
1990,Solomon Islands,3925,2251,-9.64571,160.156194,1674
1990,Tuvalu,239,3013,-7.109535,177.64933,-2774
1990,Slovenia,174420,91101,46.151241,14.995463,83319
1990,Andorra,38137,3786,42.546245,1.601554,34351
1990,Slovakia,41183,62130,48.669026,19.699024,-20947
1990,Uganda,536580,273260,1.373333,32.290275,263320
1990,South Africa,1057863,326886,-30.559482,22.937506,730977
1990,Austria,793239,499041,47.516231,14.550072,294198
1990,Ukraine,6481438,1993336,48.379433,31.16558,4488102
1990,Sierra Leone,221192,60932,8.460555,-11.779889,160260
1990,United Arab Emirates,1287556,68620,23.424076,53.847818,1218936
1990,Seychelles,2947,29162,-4.679574,55.491977,-26215
1990,Azerbaijan,357078,692656,40.143105,47.576927,-335578
1990,Serbia,99189,688943,44.016521,21.005859,-589754
1990,American Samoa,20486,1082,-14.270972,-170.132217,19404
1990,United Kingdom,3641645,3721069,55.378051,-3.435973,-79424
1990,Senegal,234420,365521,14.497401,-14.452362,-131101
1990,Singapore,445694,147704,1.352083,103.819836,297990
1990,Saudi Arabia,4830679,84552,23.885942,45.079162,4746127
1990,Turkmenistan,304375,93840,38.969719,59.556278,210535
1990,Angola,27759,327648,-11.202692,17.873887,-299889
1990,Timor-Leste,7892,11250,-8.874217,125.727539,-3358
1990,Togo,74051,192617,8.619543,0.824782,-118566
1990,Thailand,528671,283771,15.870032,100.992541,244900
1990,Tokelau,245,1684,-8.967363,-171.855881,-1439
1990,Tajikistan,428236,111509,38.861034,71.276093,316727
1990,Argentina,1565392,398212,-38.416097,-63.616672,1167180
1990,Tonga,820,32664,-21.178986,-175.198242,-31844
1990,Switzerland,1162183,321047,46.818188,8.227512,841136
1990,Sweden,720175,206188,60.128161,18.643501,513987
1990,Spain,817571,1337398,40.463667,-3.74922,-519827
1990,Anguilla,1902,462,18.220554,-63.068615,1440
1990,Swaziland,67820,35133,-26.522503,31.465866,32687
1990,Trinidad and Tobago,46645,191409,10.691803,-61.222503,-144764
1990,Armenia,564662,363639,40.069099,45.038189,201023
1990,Suriname,10581,177545,3.919305,-56.027783,-166964
1990,Tunisia,32025,452415,33.886917,9.537499,-420390
1990,Sudan,1369612,570564,12.862807,30.217636,799048
1990,Sri Lanka,39935,883382,7.873054,80.771797,-843447
1990,Turkey,979704,2505634,38.963745,35.243322,-1525930
1990,Aruba,11099,5374,12.52111,-69.968338,5725
1990,Puerto Rico,312915,1197010,18.220833,-66.590149,-884095
1990,United States of America,20134790,1703690,37.09024,-95.712891,18431100
1990,Antigua and Barbuda,11204,17017,17.060816,-61.796428,-5813
1990,Western Sahara,2580,168124,24.215527,-12.885834,-165544
1990,Bangladesh,741548,5447404,23.684994,90.356331,-4705856
1990,Saint Helena,345,853,-24.143474,-10.030696,-508
1990,Saint Kitts and Nevis,1521,12801,17.357822,-62.782998,-11280
1990,Bahamas,25319,25119,25.03428,-77.39628,200
1990,Yemen,90251,452942,15.552727,48.516388,-362691
1990,Saint Lucia,3473,19407,13.909444,-60.978893,-15934
1990,Réunion,44104,3087,-21.115141,55.536384,41017
1990,Vanuatu,1565,4905,-15.376706,166.959158,-3340
1990,Saint Pierre and Miquelon,945,485,46.941936,-56.27111,460
1990,Rwanda,139650,458956,-1.940278,29.873888,-319306
1990,Zambia,269896,64663,-13.133897,27.849332,205233
1990,Albania,58703,133396,41.153332,20.168331,-74693
1990,Bahrain,170701,4410,25.930414,50.637772,166291
1990,Barbados,18452,84235,13.193887,-59.543198,-65783
1990,Saint Vincent and the Grenadines,3718,36465,12.984305,-61.287228,-32747
1990,Uzbekistan,1577433,534964,41.377491,64.585262,1042469
1990,Uruguay,91866,230292,-32.522779,-55.765835,-138426
1990,Algeria,258623,904559,28.033886,1.659626,-645936
1990,Qatar,305265,2206,25.354826,51.183884,303059
1990,Samoa,3124,74861,-13.759029,-172.104629,-71737
1990,Romania,126763,800204,45.943161,24.96676,-673441
1990,Zimbabwe,598946,175924,-19.015438,29.154857,423022
1990,San Marino,3203,1383,43.94236,12.457777,1820
1995,Dominican Republic,322076,648240,18.735693,-70.162651,-326164
1995,Haiti,20863,657713,18.971187,-72.285215,-636850
1995,Togo,90722,305507,8.619543,0.824782,-214785
1995,Zimbabwe,393451,251700,-19.015438,29.154857,141751
1995,Tunisia,31851,466215,33.886917,9.537499,-434364
1995,Eritrea,11030,325246,15.179384,39.782334,-314216
1995,Honduras,149299,246240,15.199999,-86.241905,-96941
1995,Ireland,226892,861772,53.41291,-8.24389,-634880
1995,Equatorial Guinea,2934,40737,1.650801,10.267895,-37803
1995,Zambia,232452,125688,-13.133897,27.849332,106764
1995,Hungary,313738,381492,47.162494,19.503304,-67754
1995,Egypt,157862,1469915,26.820553,30.802498,-1312053
1995,Ecuador,100213,297902,-1.831239,-78.183406,-197689
1995,Yemen,104345,483911,15.552727,48.516388,-379566
1995,Iraq,175951,490586,33.223191,43.679291,-314635
1995,El Salvador,39351,932073,13.794185,-88.89653,-892722
1995,Iceland,12738,21214,64.963051,-19.020835,-8476
1995,Tokelau,243,1810,-8.967363,-171.855881,-1567
1995,Indonesia,318970,1835338,-0.789275,113.921327,-1516368
1995,India,6824479,7163331,20.593684,78.96288,-338852
1995,Tonga,928,38340,-21.178986,-175.198242,-37412
1995,Trinidad and Tobago,42344,245740,10.691803,-61.222503,-203396
1995,Western Sahara,2865,167026,24.215527,-12.885834,-164161
1995,Gabon,148958,15114,-0.803689,11.609444,133844
1995,Turkey,1071547,2651471,38.963745,35.243322,-1579924
1995,Gambia,146646,38243,13.443182,-15.310139,108403
1995,United Kingdom,4132002,3639032,55.378051,-3.435973,492970
1995,United States of America,26593925,1791119,37.09024,-95.712891,24802806
1995,French Polynesia,24611,3726,-17.679742,-149.406843,20885
1995,Georgia,149590,298571,42.315407,43.356892,-148981
1995,Germany,7130259,3117452,51.165691,10.451526,4012807
1995,United Arab Emirates,1781444,87307,23.424076,53.847818,1694137
1995,Uruguay,86635,227478,-32.522779,-55.765835,-140843
1995,Ghana,241780,428663,7.946527,-1.023194,-186883
1995,French Guiana,66516,3197,3.933889,-53.125782,63319
1995,Ukraine,5774245,1942367,48.379433,31.16558,3831878
1995,Isle of Man,35239,9003,54.236107,-4.548056,26236
1995,France,6087993,1311518,46.227638,2.213749,4776475
1995,Greece,857850,1013337,39.074208,21.824312,-155487
1995,Uganda,613212,433897,1.373333,32.290275,179315
1995,Greenland,7235,11275,71.706936,-42.604303,-4040
1995,Finland,97820,286676,61.92411,25.748151,-188856
1995,Estonia,315177,63648,58.595272,25.013607,251529
1995,Guinea-Bissau,26883,65915,11.803749,-15.180413,-39032
1995,Guinea,769222,364983,9.945587,-9.696645,404239
1995,Turkmenistan,270049,69994,38.969719,59.556278,200055
1995,Guatemala,156124,456734,15.783471,-90.230759,-300610
1995,Ethiopia,765390,820057,9.145,40.489673,-54667
1995,Guyana,5631,289682,4.860416,-58.93018,-284051
1995,Vanuatu,1451,5629,-15.376706,166.959158,-4178
1995,Guam,69255,3061,13.444304,144.793731,66194
1995,Fiji,11396,107002,-16.578193,179.414413,-95606
1995,Guadeloupe,70073,6753,16.995971,-62.067641,63320
1995,Tuvalu,197,3337,-7.109535,177.64933,-3140
1995,Grenada,3570,53241,12.262776,-61.604171,-49671
1995,Uzbekistan,1433906,622866,41.377491,64.585262,811040
1995,Turks and Caicos Islands,5901,1536,21.694025,-71.797928,4365
1995,Gibraltar,7115,10134,36.137741,-5.345374,-3019
1995,Puerto Rico,328497,1403017,18.220833,-66.590149,-1074520
1995,Timor-Leste,8570,79035,-8.874217,125.727539,-70465
1995,Niger,136035,165686,17.607789,8.081666,-29651
1995,Nicaragua,25561,436002,12.865416,-85.207229,-410441
1995,Saint Vincent and the Grenadines,3874,45073,12.984305,-61.287228,-41199
1995,New Zealand,555116,414372,-40.900557,174.885971,140744
1995,New Caledonia,40990,3628,-20.904305,165.618042,37362
1995,Samoa,4410,81957,-13.759029,-172.104629,-77547
1995,Netherlands,1343094,728566,52.132633,5.291266,614528
1995,San Marino,3554,2420,43.94236,12.457777,1134
1995,Saint Pierre and Miquelon,1147,479,46.941936,-56.27111,668
1995,Nepal,651911,843144,28.394857,84.124008,-191233
1995,Saudi Arabia,4950773,108775,23.885942,45.079162,4841998
1995,Namibia,112236,27610,-22.95764,18.49041,84626
1995,Mozambique,91089,750624,-18.665695,35.529562,-659535
1995,Senegal,250016,351791,14.497401,-14.452362,-101775
1995,Morocco,40348,1734714,31.791702,-7.09262,-1694366
1995,Serbia,629705,902114,44.016521,21.005859,-272409
1995,Montserrat,1325,10864,16.742498,-62.187366,-9539
1995,Mongolia,6653,3806,46.862496,103.846656,2847
1995,Nauru,2400,2496,-0.522778,166.931503,-96
1995,Monaco,11581,4499,43.750298,7.412841,7082
1995,Nigeria,361537,519274,9.081999,8.675277,-157737
1995,Saint Lucia,4652,27675,13.909444,-60.978893,-23023
1995,Portugal,528127,1857395,39.399872,-8.224454,-1329268
1995,Poland,918272,1754362,51.919438,19.145136,-836090
1995,Qatar,353830,3562,25.354826,51.183884,350268
1995,Philippines,172845,2436913,12.879721,121.774017,-2264068
1995,Romania,122811,964121,45.943161,24.96676,-841310
1995,Peru,55861,465887,-9.189967,-75.015152,-410026
1995,Paraguay,181196,333322,-23.442503,-58.443832,-152126
1995,Papua New Guinea,31809,3965,-6.314993,143.95555,27844
1995,Niue,414,5534,-19.054445,-169.867233,-5120
1995,Rwanda,210742,326408,-1.940278,29.873888,-115666
1995,Réunion,64982,2624,-21.115141,55.536384,62358
1995,Palau,4568,5328,7.51498,134.58252,-760
1995,Pakistan,3665602,3317020,30.375321,69.345116,348582
1995,Saint Helena,355,2339,-24.143474,-10.030696,-1984
1995,Oman,521084,4907,21.512583,55.923255,516177
1995,Norway,223951,149905,60.472024,8.468946,74046
1995,Saint Kitts and Nevis,2014,18237,17.357822,-62.782998,-16223
1995,Northern Mariana Islands,31106,4644,17.33083,145.38469,26462
1995,Panama,70440,131972,8.537981,-80.782127,-61532
1995,Seychelles,4514,18921,-4.679574,55.491977,-14407
1995,Mexico,456661,6936551,23.634501,-102.552784,-6479890
1995,Sierra Leone,104349,457089,8.460555,-11.779889,-352740
1995,Liberia,189728,548712,6.428055,-9.429499,-358984
1995,Sudan,1019443,730165,12.862807,30.217636,289278
1995,Lebanon,604819,518697,33.854721,35.862285,86122
1995,Suriname,13070,191245,3.919305,-56.027783,-178175
1995,Latvia,538093,128189,56.879635,24.603189,409904
1995,Swaziland,23015,30277,-26.522503,31.465866,-7262
1995,Kuwait,893634,80289,29.31166,47.481766,813345
1995,Sweden,854643,226338,60.128161,18.643501,628305
1995,Libya,508041,76711,26.3351,17.228331,431330
1995,Kiribati,1746,5454,-3.370417,-168.734039,-3708
1995,Switzerland,1312818,334949,46.818188,8.227512,977869
1995,Kazakhstan,3245250,774349,48.019573,66.923684,2470901
1995,Jordan,1534882,283431,30.585164,36.238414,1251451
1995,Tajikistan,347871,115210,38.861034,71.276093,232661
1995,Japan,1358965,637499,36.204824,138.252924,721466
1995,Jamaica,20208,718424,18.109581,-77.297508,-698216
1995,Thailand,809682,381450,15.870032,100.992541,428232
1995,Italy,1774953,3205235,41.87194,12.56738,-1430282
1995,Kenya,511762,234939,-0.023559,37.906193,276823
1995,Sri Lanka,39215,921687,7.873054,80.771797,-882472
1995,Liechtenstein,13250,3021,47.166,9.555373,10229
1995,Lithuania,259880,256418,55.169438,23.881275,3462
1995,Mayotte,25006,3894,-12.8275,45.166244,21112
1995,Mauritius,6936,110991,-20.348404,57.552152,-104055
1995,Singapore,793855,158106,1.352083,103.819836,635749
1995,Mauritania,88054,150247,21.00789,-10.940835,-62193
1995,Martinique,44999,12469,14.641528,-61.024174,32530
1995,Slovakia,69064,85509,48.669026,19.699024,-16445
1995,Marshall Islands,1305,4429,7.131474,171.184478,-3124
1995,Slovenia,170758,108264,46.151241,14.995463,62494
1995,Malta,17594,109215,35.937496,14.375416,-91621
1995,Mali,157515,779447,17.570692,-3.996166,-621932
1995,Solomon Islands,3888,2578,-9.64571,160.156194,1310
1995,Maldives,17826,1563,3.202778,73.22068,16263
1995,Malaysia,843822,808420,4.210484,101.975766,35402
1995,Somalia,18044,894763,5.152149,46.199616,-876719
1995,Malawi,189007,131894,-13.254308,34.301525,57113
1995,Madagascar,15499,66390,-18.766947,46.869107,-50891
1995,South Africa,953701,401318,-30.559482,22.937506,552383
1995,Luxembourg,125818,29752,49.815273,6.129583,96066
1995,Spain,1012490,1275783,40.463667,-3.74922,-263293
1995,Israel,1554408,189619,31.046051,34.851612,1364789
1995,Kyrgyzstan,498613,94357,41.20438,74.766098,404256
1995,Lesotho,4024,137717,-29.609988,28.233608,-133693
1995,Botswana,35261,23000,-22.328474,24.684866,12261
1995,Cayman Islands,14243,803,19.513469,-80.566956,13440
1995,Aruba,19002,6115,12.52111,-69.968338,12887
1995,Croatia,563714,702810,45.1,15.2,-139096
1995,Benin,88638,267297,9.30769,2.315834,-178659
1995,Angola,33126,369504,-11.202692,17.873887,-336378
1995,Bulgaria,30380,639998,42.733883,25.48583,-609618
1995,Antigua and Barbuda,16990,22391,17.060816,-61.796428,-5401
1995,Central African Republic,75910,37110,6.611111,20.939444,38800
1995,Bangladesh,800479,5416653,23.684994,90.356331,-4616174
1995,Australia,4125550,335035,-25.274398,133.775136,3790515
1995,Anguilla,2450,810,18.220554,-63.068615,1640
1995,British Virgin Islands,8840,675,18.420695,-64.639968,8165
1995,Andorra,39688,4186,42.546245,1.601554,35502
1995,Comoros,12435,50810,-11.875001,43.872219,-38375
1995,Colombia,106189,624857,4.570868,-74.297333,-518668
1995,Austria,894893,482767,47.516231,14.550072,412126
1995,Côte d'Ivoire,2038795,452455,7.539989,-5.54708,1586340
1995,Chad,83902,263082,15.454166,18.732207,-179180
1995,Brazil,713984,731248,-14.235004,-51.92528,-17264
1995,Bahrain,201392,17793,25.930414,50.637772,183599
1995,Cuba,22432,920188,21.521757,-77.781167,-897756
1995,Bhutan,25828,117872,27.514162,90.433601,-92044
1995,Azerbaijan,340965,804025,40.143105,47.576927,-463060
1995,China,344062,2791728,35.86166,104.195397,-2447666
1995,Chile,142417,471484,-35.675147,-71.542969,-329067
1995,Algeria,250204,963763,28.033886,1.659626,-713559
1995,Cyprus,61451,162766,35.126413,33.429859,-101315
1995,Bosnia and Herzegovina,68250,1366791,43.915886,17.679076,-1298541
1995,Bermuda,15980,42601,32.321384,-64.75737,-26621
1995,Afghanistan,55794,1580390,33.93911,67.709953,-1524596
1995,Denmark,303108,203671,56.26392,9.501785,99437
1995,Bahamas,30680,29594,25.03428,-77.39628,1086
1995,Burkina Faso,406520,1213092,12.238333,-1.561593,-806572
1995,Costa Rica,203856,83919,9.748917,-83.753428,119937
1995,Belgium,869676,374081,50.503887,4.469936,495595
1995,Armenia,654786,385111,40.069099,45.038189,269675
1995,Canada,4858489,1050253,56.130366,-106.346771,3808236
1995,Cameroon,197678,131530,7.369722,12.354722,66148
1995,Albania,63452,441271,41.153332,20.168331,-377819
1995,Cook Islands,2607,17012,-21.236736,-159.777671,-14405
1995,Argentina,1512538,446164,-38.416097,-63.616672,1066374
1995,Burundi,214117,104641,-3.373056,29.918886,109476
1995,Cambodia,86480,381421,12.565679,104.990963,-294941
1995,Djibouti,93804,6935,11.825138,42.590275,86869
1995,Barbados,20140,89152,13.193887,-59.543198,-69012
1995,Dominica,2704,40099,15.414999,-61.370976,-37395
1995,American Samoa,22301,1626,-14.270972,-170.132217,20675
1995,Belarus,1186020,844363,53.709807,27.953389,341657
1995,Belize,32317,41002,17.189877,-88.49765,-8685
2000,Indonesia,262999,2193632,-0.789275,113.921327,-1930633
2000,Iceland,15892,25932,64.963051,-19.020835,-10040
2000,Bosnia and Herzegovina,81959,1459806,43.915886,17.679076,-1377847
2000,Cook Islands,2703,19501,-21.236736,-159.777671,-16798
2000,Belgium,837472,397931,50.503887,4.469936,439541
2000,Niger,112419,193026,17.607789,8.081666,-80607
2000,Nicaragua,29063,500060,12.865416,-85.207229,-470997
2000,Peru,65323,651856,-9.189967,-75.015152,-586533
2000,New Caledonia,46612,3822,-20.904305,165.618042,42790
2000,Bhutan,29673,120061,27.514162,90.433601,-90388
2000,China,389735,3483604,35.86166,104.195397,-3093869
2000,India,6286286,7909342,20.593684,78.96288,-1623056
2000,Guam,71382,4419,13.444304,144.793731,66963
2000,New Zealand,645015,486207,-40.900557,174.885971,158808
2000,Netherlands,1552220,747580,52.132633,5.291266,804640
2000,Turkmenistan,215691,49094,38.969719,59.556278,166597
2000,Palau,5714,6472,7.51498,134.58252,-758
2000,Vanuatu,1361,6255,-15.376706,166.959158,-4894
2000,Guinea-Bissau,18937,76131,11.803749,-15.180413,-57194
2000,Comoros,12310,69992,-11.875001,43.872219,-57682
2000,Belize,35321,47220,17.189877,-88.49765,-11899
2000,Pakistan,4178579,3373757,30.375321,69.345116,804822
2000,Guyana,7580,355435,4.860416,-58.93018,-347855
2000,Angola,38485,509164,-11.202692,17.873887,-470679
2000,Oman,596366,6870,21.512583,55.923255,589496
2000,Benin,113401,311550,9.30769,2.315834,-198149
2000,Haiti,23992,798581,18.971187,-72.285215,-774589
2000,Iraq,188245,620590,33.223191,43.679291,-432345
2000,Panama,82912,136233,8.537981,-80.782127,-53321
2000,Norway,278008,162758,60.472024,8.468946,115250
2000,Turkey,1175736,2785268,38.963745,35.243322,-1609532
2000,Tunisia,29634,478946,33.886917,9.537499,-449312
2000,Colombia,108894,813521,4.570868,-74.297333,-704627
2000,Honduras,28320,341752,15.199999,-86.241905,-313432
2000,Northern Mariana Islands,38613,4889,17.33083,145.38469,33724
2000,Uzbekistan,1323853,680138,41.377491,64.585262,643715
2000,Papua New Guinea,23805,4458,-6.314993,143.95555,19347
2000,Paraguay,172346,371189,-23.442503,-58.443832,-198843
2000,Niue,422,5683,-19.054445,-169.867233,-5261
2000,Guatemala,48056,577925,15.783471,-90.230759,-529869
2000,Bermuda,16930,14083,32.321384,-64.75737,2847
2000,Nigeria,437977,598203,9.081999,8.675277,-160226
2000,Hungary,290701,397230,47.162494,19.503304,-106529
2000,Tajikistan,298933,118280,38.861034,71.276093,180653
2000,Uruguay,81477,229838,-32.522779,-55.765835,-148361
2000,Martinique,52961,13968,14.641528,-61.024174,38993
2000,Marshall Islands,1684,7326,7.131474,171.184478,-5642
2000,Cayman Islands,19172,1259,19.513469,-80.566956,17913
2000,Kiribati,1804,5170,-3.370417,-168.734039,-3366
2000,Uganda,631630,516280,1.373333,32.290275,115350
2000,Malta,21358,104236,35.937496,14.375416,-82878
2000,United Kingdom,4692050,3782593,55.378051,-3.435973,909457
2000,Kuwait,1086284,97100,29.31166,47.481766,989184
2000,Burkina Faso,485979,1233579,12.238333,-1.561593,-747600
2000,Mali,138028,705655,17.570692,-3.996166,-567627
2000,Kyrgyzstan,380737,105078,41.20438,74.766098,275659
2000,Maldives,26021,1077,3.202778,73.22068,24944
2000,Malaysia,1166948,1144579,4.210484,101.975766,22369
2000,Burundi,111921,92882,-3.373056,29.918886,19039
2000,Canada,5504699,1123819,56.130366,-106.346771,4380880
2000,Latvia,430178,136590,56.879635,24.603189,293588
2000,Malawi,181962,177651,-13.254308,34.301525,4311
2000,Ukraine,5137559,1925823,48.379433,31.16558,3211736
2000,Lebanon,689524,547232,33.854721,35.862285,142292
2000,Madagascar,17227,76162,-18.766947,46.869107,-58935
2000,Luxembourg,139438,32146,49.815273,6.129583,107292
2000,Lesotho,3699,120380,-29.609988,28.233608,-116681
2000,Cambodia,140279,441077,12.565679,104.990963,-300798
2000,Lithuania,203547,262770,55.169438,23.881275,-59223
2000,Liechtenstein,15389,2655,47.166,9.555373,12734
2000,Liberia,135072,263077,6.428055,-9.429499,-128005
2000,American Samoa,24115,2157,-14.270972,-170.132217,21958
2000,United Arab Emirates,2377888,100724,23.424076,53.847818,2277164
2000,Cameroon,182879,155312,7.369722,12.354722,27567
2000,Kenya,627427,277540,-0.023559,37.906193,349887
2000,Bulgaria,41598,678354,42.733883,25.48583,-636756
2000,Mauritania,55481,104022,21.00789,-10.940835,-48541
